time,open,close,high,low,volume,turnover,avg_vol_last_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PP,R1,S1,R2,S2,R3,S3,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,RSI,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,STOCHk_14_3_3,STOCHd_14_3_3,ATR,ROC,CCI,color_change
1672703700,16706.164199866536,16674.55,16706.164199866536,16652.2,-0.2504834887513119,-0.4340798318525942,-1.0243914561215628,-0.17969210768633698,-0.18320801953804655,-0.1357235114007082,-2.1039306549071393,-2.1047068690859145,-2.1027958045003414,-2.103356679804335,-2.0993075588298193,-2.1016756100028364,-2.0954552876284485,-2.1009382352679795,-2.0992002079102714,-2.0937999960248934,-0.3135286876891518,-1.2290191140768745,-0.8948290372518164,-2.0992002079102714,-2.094307313108084,-2.0902185797125608,-2.1030674887391636,-2.098089698294304,-2.094048504448898,-1.7573655483720185,-1.2502796076527913,-1.367870120182911,-0.2644067294671058,-2.1243768507115197,1
1672705800,16690.357099933266,16687.3,16701.9,16679.5,-0.3162313674389664,-0.4802238323466273,-1.0186066512769618,-0.1947589220688637,-0.19051446461452504,-0.1494431656997806,-2.1106447948917815,-2.109143394891754,-2.112159653575434,-2.105221284640304,-2.1110144992950493,-2.101342095324505,-2.1098738771075776,-2.099661657981908,-2.1033040865913213,-2.1031572016493962,-0.4870168288467262,-0.5445663634799671,-0.5589202577893426,-2.1033040865913213,-2.0953826464374905,-2.0907804414880933,-2.1045128312251813,-2.099463829967089,-2.0948315295026716,-1.6534351438016175,-1.6264228827929337,-1.3738840705844158,-0.24073188565975323,-1.218765090100096,0
1672707900,16688.82854996663,16673.1,16688.82854996663,16653.1,-0.3695170565474991,-0.5188660278725362,-1.0169918910976519,-0.21567433872440808,-0.2132979846604478,-0.16481711195149165,-2.1064231617646896,-2.1103515189431614,-2.1021296179034676,-2.112051235690708,-2.095387328083956,-2.113403402749181,-2.088286140736074,-2.1004361517151233,-2.106820432835067,-2.10934810376588,-0.5759277798089844,-0.978887757798818,-0.8190776969592821,-2.106820432835067,-2.0972076154294523,-2.0913321197956702,-2.1071521600960468,-2.1015026665989844,-2.0960195736320566,-1.6514320299512855,-1.7418624391742463,-1.371338818583923,-0.3299163569145989,-1.5208046096135355,1
1672710000,16680.964274983315,16672.699999999997,16683.7,16662.7,-0.7484781063367381,-0.7881612151181615,-1.0420958802651294,-0.23197105950201405,-0.2181484163469858,-0.18054324390978752,-2.1127547561567384,-2.113643424303685,-2.110229401787223,-2.1136380362951273,-2.106604476200318,-2.1120433028891648,-2.1013207803124185,-2.1001731863798163,-2.109241349624924,-2.114388829063819,-0.6627527610105464,-0.7721366807790148,-0.8262138288313053,-2.109241349624924,-2.0989777114449346,-2.091739901273419,-2.108958917386864,-2.103196567551062,-2.0971079803603803,-1.672706012971982,-1.7127294429142956,-1.3830865785970905,-0.32340875732742325,-1.1638287895997101,1
1672712100,16676.832137491656,16678.025,16681.6,16674.4,-0.7580272023595855,-0.7948823031849477,-1.066532009464064,-0.24074525377046876,-0.2002424807783456,-0.19496924116299996,-2.1122744492117467,-2.1160597075524574,-2.1074320991891016,-2.118289078687473,-2.1008248071949436,-2.119490273923229,-2.0931569110838573,-2.0988873718276824,-2.1104057964434357,-2.1179468846272047,-0.7417519355216948,0.09140687624937771,-0.6766009239854486,-2.1104057964434357,-2.1005734530028906,-2.091972349998521,-2.1095350095423386,-2.1042395313563147,-2.097912881971207,-1.779363414332351,-1.7560638153161592,-1.4053835659150147,-0.30264634742825175,-0.8481555528302928,1
1672714200,16677.42856874583,16679.375,16687.0,16669.0,-0.7154375702378436,-0.7646427307412685,-1.086875506343683,-0.24610735310623955,-0.1760358317902198,-0.20763761428523136,-2.1105137543499044,-2.116673805712268,-2.103134235994577,-2.121358723545082,-2.094078859817708,-2.1248478690226498,-2.083807202161312,-2.098457867306402,-2.110064248972352,-2.1176919363927382,-0.7444671275777709,0.15499836144526768,-0.6377527787928716,-2.110064248972352,-2.102244423641506,-2.0927206135136127,-2.1097597550822607,-2.1050059190013335,-2.0985955311870446,-1.7072043638162724,-1.7752561624772882,-1.4172646779547315,-0.31156124363144416,-0.7230743128192876,1
1672716300,16678.401784372916,16690.324999999997,16696.2,16678.401784372916,-0.7276679217098738,-0.7731710283398313,-1.1069968540533046,-0.24250021263357086,-0.13069434915932504,-0.21701378103698937,-2.110354495518181,-2.114463052336948,-2.104739247146061,-2.1174455785424646,-2.0977976643638816,-2.118956237112676,-2.089341072432685,-2.099013028906805,-2.1098501181744194,-2.1167260330168896,-0.71970944238689,1.4728100010691247,-0.33018140904146387,-2.1098501181744194,-2.104189759162522,-2.093489686724093,-2.108617356499389,-2.1049277317098767,-2.0988433392799966,-1.504526552605821,-1.7173823321202437,-1.4283835548022021,-0.34395975932563405,-0.4080587022957007,0
1672718400,16684.363392186457,16690.875,16694.5,16684.363392186457,-0.7438743418318992,-0.7846932133941741,-1.1271644651045385,-0.23866140646074438,-0.09375022703111592,-0.2237074666001159,-2.106868286144403,-2.1108488547449373,-2.1009937968387633,-2.1140893834963648,-2.0941857964088566,-2.1154772040639704,-2.085469904499088,-2.0983066105505834,-2.1085918785270596,-2.114930486719611,-0.7016103646616635,0.9561189806926035,-0.3150107499604566,-2.1085918785270596,-2.1053190804203994,-2.094054205056484,-2.10779085096756,-2.104828337691369,-2.0990489708212317,-1.3567586164892809,-1.5719557840436016,-1.4458067978078175,-0.24712036355410893,-0.317084863912657,1
1672720500,16687.619196093226,16687.475,16689.8,16684.7,-0.7719077293237124,-0.8047028581080939,-1.1481072292253103,-0.23725021957537662,-0.07122565174526285,-0.22876566196871212,-2.1063006631524765,-2.11181522391739,-2.0992433579300864,-2.116196477656738,-2.0908566661378316,-2.119065751265721,-2.0809236867128473,-2.0960278797469782,-2.107546000001617,-2.1150918324594103,-0.7408396111737228,0.29946061418737313,-0.40371482537884545,-2.107546000001617,-2.106006762722415,-2.094507148000825,-2.1076410873167153,-2.1049659913743426,-2.0993498505066417,-1.2636130692096006,-1.4193073733754105,-1.4655579455275347,-0.19461882617623175,-0.34421875998120344,0
1672722600,16687.547098046613,16698.149999999998,16711.1,16685.7,-0.5241390231647822,-0.6281130796987031,-1.1530935521097285,-0.22861591154207897,-0.032286830083094416,-0.2309965427173059,-2.107216506685686,-2.113749528760785,-2.09941298791744,-2.118848513491551,-2.0899767968319964,-2.122700237117844,-2.079274009956445,-2.0950181707040043,-2.1061214108087567,-2.1132641195455317,-0.7270834098722675,1.1796752411820324,-0.0954121833919418,-2.1061214108087567,-2.105876660665278,-2.09478210163566,-2.106281469178289,-2.104391096685779,-2.0992615359625457,-1.1736298707572925,-1.3054393755276539,-1.465858675564577,-0.09715344438044733,0.1021060117521334,1
