time,open,close,high,low,volume,turnover,color,avg_vol_last_100,PP,R1,S1,R2,S2,R3,S3,RSI_5,RSI_10,RSI_14,ATR_14,ATR_10,ATR_5,ROC_14,ROC_10,ROC_5,CCI_14,CCI_10,CCI_5,cmf,obv,mfi,RVI_15,RVI_10,RVI_5,PSARl_0.01_0.1,PSARs_0.01_0.1,PSARaf_0.01_0.1,PSARr_0.01_0.1,TRIX_18_9,TRIXs_18_9,TRIX_12_6,TRIXs_12_6,TRIX_10_5,TRIXs_10_5,SMA_20,SMA_5,SMA_10,EMA_2,EMA_5,EMA_10,ISA_5,ISB_15,ITS_5,IKS_15,ICS_15,BBL_5_2.0_5,BBM_5_2.0_5,BBU_5_2.0_5,BBB_5_2.0_5,BBP_5_2.0_5,BBL_10_2.0_10,BBM_10_2.0_10,BBU_10_2.0_10,BBB_10_2.0_10,BBP_10_2.0_10,BBL_15_2.0_15,BBM_15_2.0_15,BBU_15_2.0_15,BBB_15_2.0_15,BBP_15_2.0_15,BBL_20_2.0_20,BBM_20_2.0_20,BBU_20_2.0_20,BBB_20_2.0_20,BBP_20_2.0_20,bollinger_bandwidth,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_6_13_5_6_13_5,MACDh_6_13_5_6_13_5,MACDs_6_13_5_6_13_5,STOCHk_14_3_3,STOCHd_14_3_3,STOCHk_14_3_3_7_3_3,STOCHd_14_3_3_7_3_3,STOCHk_14_3_3_10_3_3,STOCHd_14_3_3_10_3_3
1672663500,16635.65,16632.7,16644.6,16614.9,59.35286909,986968.380552623,green,59.35286909,,,,,,,,,,,,,,,,,,,,,59.35286909,,,,,,,0.01,0,,,,,,,,,,,,,,,,,16725.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672666920,16634.175000000003,16644.350000000002,16658.9,16634.175000000003,108.66718964,1809641.552806095,red,84.01002936500001,16630.733333333334,16646.566666666666,16616.86666666667,16660.43333333333,16601.033333333336,16676.266666666663,16587.16666666667,,,,,,,,,,,,,,168.02005873000002,,,,,16614.9,,0.02,0,,,,,,,16638.525,,,16638.525,,,,,,,16726.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672670340,16639.262500000004,16689.074999999997,16763.5,16636.8,516.03163997,8623236.349573994,green,228.01723290000004,16645.808333333334,16657.441666666666,16632.716666666667,16670.533333333333,16621.083333333336,16682.166666666664,16607.99166666667,,,,,,,,,,,,,,684.0516987000001,,,,,16614.9,,0.03,0,,,,,,,16666.7125,,,16672.225,,,,,,,16727.699999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672673760,16664.16875,16731.75,16766.3,16664.16875,249.4670104,4174705.812128191,green,233.379677275,16696.458333333332,16756.116666666665,16629.416666666664,16823.158333333333,16569.75833333333,16882.816666666666,16502.716666666664,,,,,,,,,,,,,,933.5187091,,,,,16619.358,,0.04,0,,,,,,,16710.4125,,,16711.908333333333,,,,,,,16731.800000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672677180,16697.959375,16733.425,16751.8,16697.959375,111.66798326,1868847.218393012,red,209.037338472,16720.739583333332,16777.310416666664,16675.179166666665,16822.87083333333,16618.608333333334,16879.441666666662,16573.047916666666,,,,,,,,,,,,78.64701453237856,,1045.18669236,,,,100.00000000000001,16625.23568,,0.04,0,,,,,,,16732.5875,16686.260000000002,,16726.252777777776,16686.260000000002,,,,16690.6,,16705.425000000003,16601.752375491917,16686.260000000002,16770.767624508087,1.0129007280011868,0.7790576606225905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672680600,16715.692187499997,16729.975,16755.0,16708.7,172.34708741,2883385.787745137,green,202.92229662833336,16727.728124999998,16757.496874999997,16703.656249999996,16781.56875,16673.887499999997,16811.337499999998,16649.815624999996,94.22816708000676,,,,,68.52047239409794,,,0.5848419078080997,,,67.23366804267255,,872.8396049500001,,,,70.79496538732637,16630.8782528,,0.04,0,,,,,,,16731.699999999997,16705.715,,16728.734259259258,16700.83166666667,,,,16700.237500000003,,16688.95,16635.99116906681,16705.715,16775.43883093319,0.8347302816214869,0.6739720815343898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672684020,16722.833593749998,16727.375,16736.7,16720.3,73.85259413,1235389.649546388,red,184.4837677,16731.225,16753.749999999996,16707.449999999997,16777.524999999998,16684.925,16800.049999999996,16661.149999999998,89.36896728561634,,,,,54.39292653309079,,,0.49881791719110574,,,49.429146127276006,-0.004346846641264571,798.98701082,,,,58.48928967329462,16636.295122688,,0.04,0,,,,,,,16728.675,16722.32,,16727.82808641975,16709.679444444446,,,,16701.55,,16679.8,16688.83414627039,16722.32,16755.80585372961,0.4004929188008544,0.5754796344871217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672687440,16725.104296874997,16725.425,16740.4,16706.0,116.76026818,1953035.008376847,green,176.01833026,16728.125,16735.95,16719.55,16744.525,16711.725,16752.350000000002,16703.149999999998,85.24763502420103,,,,,49.333250190311745,,,0.21780715827571145,,,-50.07184654274139,-0.0017051778137920463,682.22674264,,,,55.9699400495786,16641.49531778048,,0.04,0,,,,,,,16726.4,16729.59,,16726.226028806585,16714.927962962967,,,,16715.234375,,16672.575,16723.809031222972,16729.59,16735.370968777028,0.06911070476954591,0.1397662605832053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672690860,16725.2646484375,16724.300000000003,16735.0,16713.2,62.34299263,1042731.053296206,red,163.38773719,16723.941666666666,16741.88333333333,16707.48333333333,16758.341666666667,16689.541666666664,16776.283333333333,16673.08333333333,82.50383197952038,,,,,42.716492406695075,,,-0.044526125479983206,,,-80.19065577207023,0.01387536752144103,619.88375001,,,,52.14005346386788,16646.48750506926,,0.04,0,,,,,,,16724.862500000003,16728.1,,16724.942009602197,16718.05197530865,,,,16726.4796875,,16685.4,16721.527785761184,16728.1,16734.672214238813,0.07857693627865595,0.210904128965154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672694280,16724.78232421875,16705.600000000002,16724.78232421875,16688.2,165.74523889999998,2767769.617709493,red,163.623487361,16724.166666666668,16735.133333333335,16713.333333333336,16745.966666666667,16702.36666666667,16756.933333333334,16691.533333333336,49.440229565142594,,,,,41.299469123514626,,,-0.16628394963970072,,6.5003398454161,-166.66666666668502,0.10524328196498005,454.13851110999997,,,0.0,41.01519411575927,16651.28000486649,,0.04,0,,,,,,,16714.950000000004,16722.535,16704.3975,16712.047336534066,16713.901316872434,16704.3975,,,16721.6,,16693.0,16705.16742676708,16722.535,16739.90257323292,0.2077145986887889,0.012453473698429406,16633.422425325858,16704.3975,16775.37257467414,0.8497771281381573,0.5084712837959238,,,,,,,,,,,,,,,,,,,,,,,
1672697700,16715.191162109375,16694.6,16715.191162109375,16669.6,180.99200913,3021344.531953028,red,165.20244388545456,16706.19410807292,16724.188216145838,16687.605891927087,16742.77643229167,16669.61178385417,16760.77054036459,16651.023567708336,38.18749024925849,57.06676168259814,,,46.291016242437045,42.261057484783606,,0.3721584589393052,-0.2114468192570521,,-56.8742331320172,-118.56606624560625,0.041904069764640686,273.1465019799999,,,0.0,27.693488436242003,16655.88080467183,,0.04,0,,,,,-0.0003525302489704174,,16700.1,16715.46,16710.5875,16700.415778844686,16707.467544581625,16702.616136363635,,,16705.0,,16692.925,16689.35600413728,16715.46,16741.563995862718,0.3123335626147157,0.10044431301430842,16657.048909945723,16710.5875,16764.12609005428,0.6407744797037058,0.3506918095546186,,,,,,,,,,,,,,,,,,,,,,,
1672701120,16704.895581054687,16716.574999999997,16748.8,16698.3,215.22980065,3600248.435251663,green,169.37139028250002,16693.13038736979,16716.660774739583,16671.069612630206,16738.721549479167,16647.539225260414,16762.25193684896,16625.47845052083,60.58782121708947,67.20590084950373,,,47.44361109635015,44.87322988875877,,0.43393103365403213,-0.06456482263357467,,23.361853351138418,44.38401720892612,-0.05861654730620647,488.37630262999994,,,9.028975463473197,49.70942435294843,16660.297572484957,,0.04,0,,,,,-7.46049502398094e-05,,16705.587499999998,16713.3,16717.81,16711.188592948227,16710.503363054417,16705.154111570246,,,16709.199999999997,,16722.649999999998,16689.844147851745,16713.3,16736.755852148253,0.28068486951414806,0.5698120021242032,16687.526339389035,16717.81,16748.093660610968,0.3622921974943699,0.479609466374138,,,,,,,,,,,,,,,,,,,,,,,
1672704540,16710.735290527344,16719.075,16734.4,16709.0,87.32969042,1460325.154380371,red,163.06049029307692,16721.225,16744.149999999998,16693.649999999998,16771.725,16670.725,16794.649999999998,16643.149999999998,62.51937167797462,68.15649878144767,,,44.37163249396374,40.691196784381894,,0.17975831494557754,-0.037966150336978255,,9.093721968017224,47.82572486630432,-0.06867454781518838,575.70599305,,,16.200002066923943,64.44220330968614,16664.53766958556,,0.04,0,,,0.0003156221870748155,,0.0006148101346692414,,16717.824999999997,16712.03,16720.81,16716.44619764941,16713.36057536961,16707.685182193836,,,16709.199999999997,,16740.9,16690.751057357076,16712.03,16733.30894264292,0.2546541939300328,0.6655392403236976,16697.32681239695,16720.81,16744.293187603053,0.2808857657380377,0.46305867777986087,,,,,,,,,,,,,,,6.5034145715180784,,,,,,,,
