iter	Logloss
0	0.6879703525
1	0.6830897819
2	0.6789828719
3	0.674637695
4	0.6706546874
5	0.667313401
6	0.6644534971
7	0.6615095356
8	0.658584347
9	0.6564009138
10	0.6537434818
11	0.6517154192
12	0.6497803199
13	0.6480575381
14	0.6465783891
15	0.6453721661
16	0.6438745802
17	0.6424026349
18	0.6412352727
19	0.6400491208
20	0.6388685482
21	0.6376581691
22	0.6366507114
23	0.6356677799
24	0.6347791186
25	0.6338710097
26	0.6332206876
27	0.6325827679
28	0.6319914665
29	0.6314034935
30	0.6306407307
31	0.6300407637
32	0.6293650935
33	0.6288541966
34	0.6283351792
35	0.6279618921
36	0.6273639397
37	0.6268513772
38	0.626371421
39	0.6259474966
40	0.6256158017
41	0.6252796038
42	0.6247188864
43	0.6242853432
44	0.6238243946
45	0.6234022714
46	0.6229700131
47	0.6225893973
48	0.6222425161
49	0.621993134
50	0.6217782284
51	0.621411372
52	0.6211577982
53	0.6209302235
54	0.6207138072
55	0.6203941988
56	0.6200756669
57	0.6196807316
58	0.6194639343
59	0.6192010782
60	0.6189310179
61	0.6186639407
62	0.6183883086
63	0.6181916815
64	0.617916131
65	0.6177063325
66	0.6175322554
67	0.6173607527
68	0.6171232841
69	0.6168360194
70	0.6166092501
71	0.616446759
72	0.6163198883
73	0.6161420483
74	0.6158548123
75	0.6156463046
76	0.6154804926
77	0.615295113
78	0.6151185946
79	0.6149194864
80	0.6147779322
81	0.6146554013
82	0.6144803259
83	0.6143772029
84	0.6142546649
85	0.614075136
86	0.61381367
87	0.6136968793
88	0.6134718384
89	0.6131523154
90	0.612998439
91	0.6128617604
92	0.6127958351
93	0.6125702191
94	0.6123939654
95	0.6121578104
96	0.6120176354
97	0.6119283863
98	0.6118102562
99	0.6117050424
100	0.6116628164
101	0.6114726416
102	0.6112630471
103	0.6111790059
104	0.6110456978
105	0.6109074357
106	0.6108082443
107	0.6106162241
108	0.6105118327
109	0.6104580889
110	0.6102962628
111	0.6101900612
112	0.6100011616
113	0.6098970347
114	0.6097403886
115	0.6095891578
116	0.6093786522
117	0.609252711
118	0.6091078478
119	0.6089690486
120	0.6088468841
121	0.6087590224
122	0.6086317888
123	0.6084603231
124	0.6083051127
125	0.6081223242
126	0.6080246835
127	0.6078677296
128	0.6077778115
129	0.6076623108
130	0.6074837326
131	0.6073802949
132	0.6073131027
133	0.6071981081
134	0.6070846514
135	0.6069608649
136	0.6068851904
137	0.6067443964
138	0.6065474123
139	0.6064949808
140	0.6063699848
141	0.6062595737
142	0.6061897265
143	0.6060451213
144	0.6059441429
145	0.6058750849
146	0.60578224
147	0.6055650201
148	0.6054676873
149	0.6053914651
150	0.6053121555
151	0.6052038131
152	0.605044373
153	0.6048866578
154	0.6048180717
155	0.6046947226
156	0.6045456223
157	0.604430904
158	0.6043436724
159	0.6042226364
160	0.6041544399
161	0.6040967387
162	0.6040172807
163	0.6039446003
164	0.6038355241
165	0.603648144
166	0.6035297778
167	0.6034336342
168	0.6032551881
169	0.6031731105
170	0.6030031387
171	0.6028376616
172	0.6026998732
173	0.6026363204
174	0.6025149787
175	0.6024514227
176	0.6023504558
177	0.6022439521
178	0.602107743
179	0.6020206385
180	0.6018912413
181	0.6017881634
182	0.6017073079
183	0.6016133561
184	0.6015142891
185	0.6014353469
186	0.6013238939
187	0.6012443887
188	0.6011329364
189	0.6010495896
190	0.6009656602
191	0.6008960673
192	0.6007105131
193	0.6005307609
194	0.6004304246
195	0.6002518372
