model,duration,best_features,fold,accuracy,f1_score,precision,recall,auc_roc
XGBoost with SHAP Feature Selection,9,"BBP_5_2.0, BBB_5_2.0, ATR, CCI, volume, STOCHk_14_3_3, MACDh_12_26_9, turnover, ROC, S3",2,0.6136974037600716,0.6490443269621797,0.642512077294686,0.6557107641741988,0.65803606560291
XGBoost with SHAP Feature Selection,9,"BBP_5_2.0, BBB_5_2.0, ATR, CCI, STOCHk_14_3_3, R3, S3, turnover, RSI, volume",3,0.6208594449418084,0.6544267645858832,0.6226708074534162,0.6895958727429062,0.6651950548061012
XGBoost with SHAP Feature Selection,9,"BBP_5_2.0, BBB_5_2.0, CCI, ATR, STOCHk_14_3_3, ROC, R3, RSI, turnover, STOCHd_14_3_3",4,0.6257833482542524,0.6607142857142856,0.6261538461538462,0.6993127147766323,0.6706779715451072
XGBoost with SHAP Feature Selection,9,"BBP_5_2.0, BBB_5_2.0, ATR, CCI, STOCHk_14_3_3, volume, ROC, RSI, turnover, S3",5,0.6284691136974038,0.6797839506172839,0.6226148409893993,0.7485131690739167,0.6564289210820127
LightGBM with SHAP Feature Selection,9,"BBP_5_2.0, BBB_5_2.0, volume, CCI, MACDh_12_26_9, turnover, STOCHk_14_3_3, ROC, RSI, ATR",1,0.630259623992838,0.6788491446345257,0.6262553802008608,0.7410865874363328,0.6656803068889233
LightGBM with SHAP Feature Selection,9,"BBP_5_2.0, BBB_5_2.0, ATR, CCI, volume, turnover, MACDh_12_26_9, STOCHk_14_3_3, ROC, R3",2,0.6289167412712623,0.6815213215520552,0.63997113997114,0.7288414133114215,0.674227532118327
LightGBM with SHAP Feature Selection,9,"BBP_5_2.0, BBB_5_2.0, ATR, CCI, STOCHk_14_3_3, volume, turnover, ROC, RSI, avg_vol_last_100",3,0.6414503133393017,0.6799840191769876,0.6350746268656716,0.7317282889079966,0.6836596490129443
LightGBM with SHAP Feature Selection,9,"BBP_5_2.0, BBB_5_2.0, ATR, CCI, RSI, STOCHk_14_3_3, volume, turnover, ROC, MACDh_12_26_9",4,0.6508504923903312,0.6904761904761905,0.6415929203539823,0.7474226804123711,0.6924418698012011
LightGBM with SHAP Feature Selection,9,"BBP_5_2.0, BBB_5_2.0, CCI, ATR, volume, STOCHk_14_3_3, turnover, R3, ROC, RSI",5,0.6284691136974038,0.6851289833080425,0.6189170664838931,0.7672047578589635,0.6617625427119764
XGBoost with SHAP Feature Selection,12,"BBP_5_2.0, BBB_5_2.0, R3, ROC, CCI, MACDs_12_26_9, volume, STOCHk_14_3_3, STOCHd_14_3_3, S3",1,0.5878136200716846,0.6729857819905213,0.5693664795509222,0.8227114716106605,0.6115349060499249
XGBoost with SHAP Feature Selection,12,"BBP_5_2.0, BBB_5_2.0, CCI, volume, ROC, RSI, R3, ATR, STOCHk_14_3_3, STOCHd_14_3_3",2,0.5961768219832736,0.6114942528735632,0.652760736196319,0.5751351351351351,0.6453880850142534
XGBoost with SHAP Feature Selection,12,"BBP_5_2.0, BBB_5_2.0, CCI, R2, RSI, MACDh_12_26_9, volume, STOCHk_14_3_3, ROC, S3",3,0.5848267622461171,0.5880260818020154,0.6108374384236454,0.5668571428571428,0.6396424101555517
XGBoost with SHAP Feature Selection,12,"BBP_5_2.0, BBB_5_2.0, RSI, CCI, STOCHk_14_3_3, volume, ATR, ROC, MACDh_12_26_9, STOCHd_14_3_3",4,0.6105137395459976,0.6483279395900755,0.6326315789473684,0.6648230088495575,0.6560567750833238
XGBoost with SHAP Feature Selection,12,"BBP_5_2.0, BBB_5_2.0, CCI, STOCHk_14_3_3, turnover, STOCHd_14_3_3, RSI, ATR, ROC, volume",5,0.6332138590203107,0.6758183738120379,0.6368159203980099,0.7199100112485939,0.6755604594011736
LightGBM with SHAP Feature Selection,12,"BBP_5_2.0, BBB_5_2.0, ROC, volume, R3, CCI, MACDs_12_26_9, STOCHk_14_3_3, STOCHd_14_3_3, RSI",1,0.5866188769414575,0.6986062717770035,0.5596650383810189,0.929316338354577,0.6375331657839127
