date,time,open,close,high,low,volume,turnover,color,avg_vol_last_100
2023-01-02,05:00:00,16626.7,16627.1,16627.2,16626.6,5.11372319,85024.894949183,green,5.11372319
2023-01-02,05:15:00,16627.1,16631.5,16631.5,16614.9,18.50714728,307664.001880947,green,11.810435235
2023-01-02,05:30:00,16631.6,16652.1,16652.1,16627.3,59.56454338,991094.182010008,green,27.72847128333333
2023-01-02,05:45:00,16652.0,16648.1,16658.8,16648.1,22.38549118,372818.786654125,red,26.3927262575
2023-01-02,06:00:00,16648.2,16652.6,16658.9,16648.1,28.99835324,482969.27416713,green,26.913851654
2023-01-02,06:15:00,16652.7,16650.8,16658.0,16650.4,23.80740047,396519.160306609,red,26.39610979
2023-01-02,06:30:00,16650.8,16641.4,16650.8,16636.8,22.51153952,374615.013944061,red,25.84117118
2023-01-02,06:45:00,16641.5,16639.1,16641.5,16639.0,7.65488052,127376.083272606,red,23.5678848475
2023-01-02,07:00:00,16639.1,16698.2,16698.4,16638.9,102.97219073,1716797.367471238,green,32.39058550111111
2023-01-02,07:15:00,16698.2,16735.3,16763.5,16682.6,381.09967287,6373557.322440051,green,67.261494238
2023-01-02,07:30:00,16735.2,16736.8,16757.9,16719.0,37.16556051,622246.497532828,green,64.52550026272728
2023-01-02,07:45:00,16736.7,16717.6,16742.7,16717.5,36.59686501,612175.693759431,red,62.198113991666666
2023-01-02,08:00:00,16717.6,16745.2,16748.9,16704.0,100.4868228,1680407.640472462,green,65.14339928461538
2023-01-02,08:15:00,16745.2,16736.7,16766.3,16732.5,85.52918205,1432451.684614742,red,66.599526625
2023-01-02,08:30:00,16736.6,16741.8,16751.8,16734.0,33.58268011,562362.698647042,green,64.398403524
2023-01-02,08:45:00,16741.8,16732.4,16746.7,16726.0,29.98320917,501705.931835894,red,62.247453876875
2023-01-02,09:00:00,16732.5,16720.1,16742.8,16720.1,29.58560623,495047.659416623,red,60.32616872117647
2023-01-02,09:15:00,16720.2,16724.1,16735.7,16720.1,19.6418241,328565.420078935,green,58.065927353333336
2023-01-02,09:30:00,16724.1,16722.0,16731.6,16716.1,24.10119665,403082.973160155,red,56.27830994789474
2023-01-02,09:45:00,16722.0,16714.3,16722.0,16713.9,23.9551519,400450.016618274,red,54.6621520455
