open,close,high,low,volume,color,time
16626.7,16650.3,16651.2,16614.9,82.17114545,1,1672664460
16650.3,16651.2,16658.9,16648.1,75.64670737,1,1672667040
16651.3,16643.2,16651.3,16636.8,38.96815901,0,1672669620
16643.2,16722.4,16763.5,16639.8,534.58206042,1,1672672200
16722.4,16750.5,16766.3,16704.0,212.21109417,1,1672674780
16750.5,16726.4,16751.8,16720.1,86.47464101,0,1672677360
16726.4,16718.1,16735.7,16708.7,74.41534166,0,1672679940
16718.1,16721.7,16755.0,16718.0,144.74771222,1,1672682520
16721.7,16720.0,16728.4,16720.0,44.25078288,0,1672685100
16720.0,16737.2,16737.2,16706.0,91.08214351,1,1672687680
16737.1,16723.7,16740.4,16723.4,65.96365694,0,1672690260
16723.7,16709.9,16723.7,16709.8,36.32098632,0,1672692840
16709.9,16704.6,16709.9,16688.2,173.32102439,0,1672695420
16704.6,16699.4,16704.6,16669.6,130.62928661,0,1672698000
16699.5,16741.1,16748.8,16693.8,144.11811212,1,1672700580
16741.0,16731.7,16741.1,16720.6,118.82752952,0,1672703160
16731.7,16710.1,16734.4,16709.0,70.29745332,0,1672705740
16710.0,16712.6,16718.5,16709.2,46.90741891,1,1672708320
16712.6,16708.7,16712.6,16708.3,35.64197318,0,1672710900
16708.7,16723.2,16729.4,16708.6,54.49270207,1,1672713480
16723.3,16711.4,16735.4,16711.3,78.36230361999999,0,1672716060
16711.3,16729.1,16729.2,16710.1,73.69160998,1,1672718640
16729.2,16726.0,16731.6,16722.2,60.51463792,0,1672721220
16726.0,16739.4,16792.0,16725.7,213.50081665,1,1672723800
16739.4,16693.6,16751.8,16687.4,169.13000943,0,1672726380
16693.6,16697.1,16722.1,16688.3,130.28422981,1,1672728960
16697.1,16688.2,16702.1,16652.2,140.30711012,0,1672731540
16688.1,16688.3,16701.9,16678.4,124.50051177,1,1672734120
16688.3,16664.0,16688.3,16653.1,104.12018509,0,1672736700
16664.1,16676.6,16683.7,16664.0,40.53954318,1,1672739280
16676.6,16671.5,16681.5,16669.0,50.645256530000005,0,1672741860
16671.6,16690.0,16696.2,16669.8,44.59321635,1,1672744440
16690.0,16689.0,16694.5,16688.0,37.55778491,0,1672747020
16689.0,16700.7,16700.8,16684.7,54.21161202,1,1672749600
16700.7,16751.7,16755.6,16694.6,141.42568215,1,1672752180
16751.8,16729.0,16773.6,16729.0,83.42659134,0,1672754760
16729.1,16712.0,16729.1,16711.9,34.94132401,0,1672757340
16712.0,16714.0,16735.5,16710.1,58.70601127,1,1672759920
16714.0,16712.8,16715.3,16699.8,78.00443469,0,1672762500
16712.7,16743.9,16743.9,16712.7,65.53087952999999,1,1672765080
16743.8,16732.9,16756.1,16730.8,59.08495535,0,1672767660
16732.8,16725.0,16737.7,16724.9,30.25416305,0,1672770240
16725.0,16721.2,16736.1,16711.5,94.95266602,0,1672772820
16721.3,16719.6,16724.2,16712.4,68.98092047,0,1672775400
16719.6,16722.5,16731.2,16704.1,73.42225302,1,1672777980
16722.5,16724.2,16735.9,16718.3,55.84851742,1,1672780560
16724.1,16765.2,16765.4,16724.1,211.43765109,1,1672783140
16765.3,16653.8,16770.0,16626.5,423.40171905,0,1672785720
16653.8,16678.0,16681.4,16621.6,139.36012683,1,1672788300
16678.0,16637.7,16687.6,16632.4,215.44347237,0,1672790880
16637.7,16635.2,16642.1,16616.4,97.86365773,0,1672793460
16635.2,16634.8,16648.0,16606.9,72.16331223,0,1672796040
16634.8,16643.2,16649.5,16632.1,45.82505241,1,1672798620
16643.1,16633.9,16646.1,16624.9,59.00863457,0,1672801200
16633.8,16655.0,16669.0,16633.8,148.84254017,1,1672803780
16655.0,16661.6,16668.1,16653.3,50.09752861,1,1672806360
16661.6,16671.2,16672.8,16661.5,87.82001093,1,1672808940
16671.2,16663.4,16671.3,16646.5,65.43198517,0,1672811520
16663.3,16680.8,16691.7,16653.2,103.22715159,1,1672814100
16680.8,16675.0,16680.8,16669.3,46.59847401,0,1672816680
16674.9,16660.7,16675.0,16660.6,49.59618059,0,1672819260
16660.7,16706.3,16733.0,16654.0,130.76508428,1,1672821840
16706.3,16721.2,16725.5,16698.2,76.56067709,1,1672824420
16721.1,16729.9,16754.3,16712.7,166.74228648,1,1672827000
16730.0,16821.8,16845.8,16730.0,446.85530759,1,1672829580
16821.8,16858.1,16906.4,16807.4,244.29737272,1,1672832160
16857.5,16862.3,16875.7,16851.4,67.37465128,1,1672834740
16862.3,16842.5,16862.3,16839.3,53.03127431,0,1672837320
16842.6,16861.3,16864.7,16841.1,58.49896456,1,1672839900
16861.3,16870.2,16889.2,16850.0,99.72014899,1,1672842480
16870.2,16858.2,16878.7,16853.2,72.40820874,0,1672845060
16858.3,16847.1,16912.7,16833.2,179.77525313,0,1672847640
16847.1,16855.8,16872.6,16847.0,63.19594346,1,1672850220
16855.7,16841.6,16861.4,16835.7,78.85143641,0,1672852800
16841.6,16836.3,16844.5,16836.2,42.72385674,0,1672855380
16836.2,16847.9,16851.0,16836.2,47.57114752,1,1672857960
