model,duration,best_features,accuracy
SelectKBest_LogisticRegression,18,"['low', 'volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDs_12_26_9', 'BBL_5_2.0', 'BBB_5_2.0', 'RSI', 'ATR']",0.5524152750340152
LogisticRegression_LogisticRegression,18,['time'],0.5331240434097712
RFA_LogisticRegression,21,"['BBP_5_2.0', 'time', 'MACDh_12_26_9', 'R2', 'close', 'high', 'low', 'volume', 'open', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDs_12_26_9', 'PP', 'R1', 'S1', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'BBB_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5311680651135143
RFE_LogisticRegression,21,"['turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'STOCHd_14_3_3', 'ROC', 'CCI']",0.5467104109985749
SelectKBest_LogisticRegression,21,"['time', 'volume', 'turnover', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHd_14_3_3']",0.5311680651135143
LogisticRegression_LogisticRegression,21,['time'],0.5311680651135143
RFA_LogisticRegression,24,"['BBP_5_2.0', 'time', 'BBB_5_2.0', 'open', 'high', 'volume', 'close', 'low', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'S3', 'MACDh_12_26_9', 'MACDs_12_26_9', 'PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_20', 'EMA_10', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.531256368382117
RFE_LogisticRegression,24,"['turnover', 'avg_vol_last_100', 'MACDh_12_26_9', 'R3', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHd_14_3_3', 'ATR', 'CCI']",0.5484330041216269
SelectKBest_LogisticRegression,24,"['low', 'volume', 'turnover', 'MACD_12_26_9', 'MACDh_12_26_9', 'BBL_5_2.0', 'BBB_5_2.0', 'RSI', 'STOCHd_14_3_3', 'ROC']",0.549629213102267
LogisticRegression_LogisticRegression,24,['time'],0.531256368382117
RFA_LogisticRegression,27,"['BBP_5_2.0', 'time', 'BBB_5_2.0', 'open', 'close', 'high', 'volume', 'turnover', 'low', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5327187472352473
RFE_LogisticRegression,27,"['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHd_14_3_3', 'ATR', 'CCI']",0.5516065267122509
SelectKBest_LogisticRegression,27,"['close', 'high', 'volume', 'turnover', 'BBU_5_2.0', 'BBB_5_2.0', 'RSI', 'STOCHd_14_3_3', 'ATR', 'CCI']",0.5531788020879412
LogisticRegression_LogisticRegression,27,['time'],0.5327187472352473
RFA_LogisticRegression,30,"['BBP_5_2.0', 'time', 'BBB_5_2.0', 'open', 'close', 'low', 'volume', 'high', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5396348560700875
RFE_LogisticRegression,30,"['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'CCI']",0.5573886107634543
SelectKBest_LogisticRegression,30,"['time', 'close', 'high', 'volume', 'turnover', 'S2', 'S3', 'BBU_5_2.0', 'BBB_5_2.0', 'ATR']",0.5396348560700875
LogisticRegression_LogisticRegression,30,['time'],0.5396348560700875
RFA_LogisticRegression,33,"['BBP_5_2.0', 'time', 'volume', 'close', 'low', 'high', 'turnover', 'avg_vol_last_100', 'MACDh_12_26_9', 'open', 'MACD_12_26_9', 'MACDs_12_26_9', 'PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'BBB_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5272579490036036
RFE_LogisticRegression,33,"['volume', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHd_14_3_3', 'ATR', 'CCI']",0.5539664495397896
SelectKBest_LogisticRegression,33,"['volume', 'turnover', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ROC', 'CCI']",0.5410214436474284
LogisticRegression_LogisticRegression,33,['time'],0.5272579490036036
