time,open,close,high,low,volume,turnover,avg_vol_last_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PP,R1,S1,R2,S2,R3,S3,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,RSI,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,STOCHk_14_3_3,STOCHd_14_3_3,ATR,ROC,CCI,color_change
1672679640,-2.360751745807763,-2.390972963101793,-2.3948737402857425,-2.3887275964851162,-0.4049145838613018,-0.4947661419012947,-0.46616034876519347,4.763861539315258,0.7316311101721009,4.032230429143157,16719.149999999998,16729.299999999996,16709.099999999995,16739.35,16698.949999999997,16749.499999999996,16688.899999999994,16709.446040484814,16723.97,16738.493959515188,0.1736903320824782,0.0973894037720636,51.68531804749114,16723.97,16713.685,16718.77875,16719.045484927643,16718.008111824627,16713.69769946203,64.7306397306419,70.30723905724015,23.73408675950496,0.0504374739955334,2.535989890832968,1
1672680960,-2.3628920508927287,-2.390848014763127,-2.397030429545307,-2.38783726241629,-0.601329916056741,-0.6351608289915542,-0.48783719215493804,4.02942980631633,-0.0022404982614618,4.031670304577792,16715.003865816838,16720.807731633675,16706.471134183168,16729.340463267345,16700.66726836633,16735.14432908418,16692.13453673266,16705.416620007574,16720.3,16735.183379992424,0.1780276668770899,0.2413221995299563,51.83840279713191,16720.3,16714.905,16717.75125,16716.89698995176,16717.024818765603,16713.593156656123,56.95496632996765,64.10634118967607,22.38801158868077,0.0730521424636361,3.236240843215964,0
1672682280,-2.363900436074438,-2.3915977047951316,-2.3980465339811516,-2.388921147369644,-0.6811924663220318,-0.6922503395687135,-0.5111155407473947,3.2525453453454247,-0.6232999673858939,3.875845312731319,16714.001932908417,16716.503865816834,16710.09806709158,16720.40773163367,16707.596134183164,16722.909664542087,16703.69226836633,16702.06949007487,16717.170000000002,16732.270509925133,0.1806586871477721,0.284113250733682,50.798389995739406,16717.170000000002,16716.94,16716.87125,16714.814659967844,16715.86576080822,16713.312856022207,53.33543771043967,58.34034792368308,21.165570473783387,0.1219271073617741,-8.074849939226596,1
1672683600,-2.3647752328299343,-2.392010995453802,-2.3989280273626945,-2.3890759880772663,-0.48561858147975223,-0.5524887087455688,-0.5264502957043656,2.52105415404003,-1.083832926953031,3.604887080993061,16711.534299787545,16714.36859957509,16707.815700212464,16718.08719915017,16704.98140042492,16720.921498937714,16701.26280084984,16706.12215589992,16712.870000000003,16719.617844100085,0.0807502732933619,0.2558479455711063,50.200455965490185,16712.870000000003,16718.8275,16716.1425,16713.06810664523,16714.721986115816,16712.95686973438,52.19907407407575,54.16315937149435,19.898024351231527,0.1130869286488883,-13.03477001664008,0
1672684920,-2.365416938631779,-2.3887815614697767,-2.392627959905372,-2.38895985754655,-0.2959400031337208,-0.41670346640296596,-0.5346647990336019,2.589304028046172,-0.8124664423575112,3.401770470403683,16710.275483227102,16712.250966454205,16707.59951677289,16714.926932908416,16705.624033545788,16716.90241613552,16702.948067091576,16706.82202149158,16712.614999999998,16718.407978508418,0.0693246210532554,0.962629025138806,54.6885955178388,16712.614999999998,16719.9575,16715.9975,16714.703737763488,16715.313443185667,16713.434786902533,54.4612794612811,53.331930415265504,19.96688893108745,0.0676376358551036,34.589043774335074,1
1672686240,-2.364141342823475,-2.3869746162644288,-2.3934322947193256,-2.386629848480499,-0.6154761867669948,-0.6451704163215809,-0.5528206161565054,2.9881971882714424,-0.3308586257057926,3.319055813977235,16718.658333333333,16728.716666666667,16707.916666666664,16739.458333333336,16697.85833333333,16749.51666666667,16687.11666666666,16704.839879503576,16714.695,16724.550120496424,0.1179216311924831,0.9048656737832376,57.0225117850137,16714.695,16719.3325,16715.5525,16717.36082517566,16716.651908060998,16714.31480719753,59.52230639730707,55.39421997755464,19.41333640881397,-0.0373604400760957,46.5212213010475,1
1672687560,-2.362610293855826,-2.3867054967657597,-2.3918236250914195,-2.386095304455542,-0.30695064508225933,-0.424538010229265,-0.5603132849495336,3.322507246128225,0.0027611457207918,3.3197461004074333,16721.531370806773,16728.443629193218,16715.762741613547,16734.212258386444,16708.850483227103,16741.12451677289,16703.081854033877,16705.217717334974,16716.85,16728.482282665023,0.1391683560602007,0.7804694567653685,57.37466400289325,16716.85,16718.575,16714.97,16719.36555011711,16717.874288413543,16715.177682702528,63.24833935128066,59.077308403289614,19.11736698914793,-0.0452753728867583,52.66891650986365,1
1672688880,-2.3617117319795664,-2.3871668444777634,-2.390329860436935,-2.3883792048929675,-0.19808343202186257,-0.34661680343150447,-0.5640821127354152,3.450841254467377,0.1048761232479549,3.3459651312194225,16723.625,16731.25,16715.75,16739.125,16708.125,16746.75,16700.25,16708.85983608683,16719.155000000002,16729.450163913174,0.1231541176952012,0.6466708070637434,56.51968195329441,16719.155000000002,16718.1625,16714.61625,16720.302033411404,16718.656235974715,16715.844093873715,60.08546056340207,60.95203543732993,19.583008695913065,-0.0246617602219259,32.63962084305371,1
1672690200,-2.361490515142755,-2.3875609123151005,-2.3938919146130133,-2.3860178841017308,-0.2314185657455723,-0.37060081757582525,-0.5686753136185572,3.430295634167124,0.0674644023581603,3.362831231808963,16722.558333333334,16735.01666666667,16709.716666666667,16747.858333333337,16697.25833333333,16760.316666666673,16684.416666666664,16717.68629810911,16721.469999999998,16725.253701890884,0.0452556131833712,0.4577133704996094,55.75540438299991,16721.469999999998,16717.170000000002,16714.74375,16720.584688940937,16719.109647615674,16716.349418266695,51.98046767973245,58.43808919813839,18.856560961554333,-0.059320754942542,6.83072090791396,1
1672691520,-2.3615747114775574,-2.385821246984418,-2.392704563220987,-2.384237215964078,-0.473970178920086,-0.5439306628014975,-0.5801891181175566,3.736075611035631,0.2985955033813336,3.437480107654297,16721.149999999998,16726.099999999995,16716.199999999997,16731.049999999996,16711.25,16735.999999999993,16706.3,16719.97625643814,16723.010000000002,16726.043743561862,0.0362822669108051,0.9392263132429476,58.427991172072026,16723.010000000002,16717.8125,16715.327500000003,16722.28145929396,16720.303348049187,16717.237568907964,49.08746010147049,53.71779611486834,18.074888680226348,0.038428757270828,62.35398910437678,0
