model,duration,best_features,accuracy
Logistic Regression with RFE Feature Selection,39,"['time', 'low', 'volume', 'turnover', 'BBL_5_2.0', 'BBB_5_2.0']",0.5369863013698629
Logistic Regression with RFECV Feature Selection,42,['time'],0.5206751054852321
Logistic Regression with SelectKBest Feature Selection,42,"['high', 'PP', 'R2', 'S3', 'BBP_5_2.0', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'ROC', 'CCI']",0.5329113924050634
Logistic Regression with RFE Feature Selection,42,"['time', 'volume', 'turnover', 'BBB_5_2.0', 'RSI', 'ROC']",0.5206751054852321
Logistic Regression with RFECV Feature Selection,45,['time'],0.539366515837104
Logistic Regression with SelectKBest Feature Selection,45,"['open', 'volume', 'R1', 'BBM_5_2.0', 'BBP_5_2.0', 'RSI', 'SMA_5', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'CCI']",0.5556561085972851
Logistic Regression with RFE Feature Selection,45,"['time', 'volume', 'turnover', 'BBB_5_2.0', 'RSI', 'CCI']",0.539366515837104
Logistic Regression with RFECV Feature Selection,48,['time'],0.518840579710145
Logistic Regression with SelectKBest Feature Selection,48,"['low', 'turnover', 'R1', 'S1', 'S2', 'R3', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHd_14_3_3']",0.563768115942029
Logistic Regression with RFE Feature Selection,48,"['time', 'volume', 'turnover', 'avg_vol_last_100', 'R3', 'BBB_5_2.0']",0.518840579710145
Logistic Regression with RFECV Feature Selection,51,['time'],0.5131105398457583
Logistic Regression with SelectKBest Feature Selection,51,"['high', 'MACDs_12_26_9', 'PP', 'R2', 'S3', 'BBP_5_2.0', 'SMA_20', 'EMA_5', 'STOCHk_14_3_3', 'CCI']",0.5280205655526993
Logistic Regression with RFE Feature Selection,51,"['time', 'volume', 'turnover', 'BBB_5_2.0', 'RSI', 'STOCHd_14_3_3']",0.5131105398457583
Logistic Regression with RFECV Feature Selection,54,['time'],0.5264305177111717
Logistic Regression with SelectKBest Feature Selection,54,"['open', 'low', 'volume', 'MACDh_12_26_9', 'PP', 'R1', 'BBB_5_2.0', 'BBP_5_2.0', 'STOCHd_14_3_3', 'CCI']",0.5346049046321526
Logistic Regression with RFE Feature Selection,54,"['time', 'volume', 'turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'CCI']",0.5264305177111717
Logistic Regression with RFECV Feature Selection,57,['time'],0.5040229885057471
Logistic Regression with SelectKBest Feature Selection,57,"['volume', 'MACDh_12_26_9', 'R3', 'S3', 'BBU_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'ATR', 'ROC', 'CCI']",0.5471264367816092
Logistic Regression with RFE Feature Selection,57,"['time', 'volume', 'turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'CCI']",0.5040229885057471
Logistic Regression with RFECV Feature Selection,60,['time'],0.5157575757575757
Logistic Regression with SelectKBest Feature Selection,60,"['volume', 'turnover', 'MACD_12_26_9', 'MACDs_12_26_9', 'PP', 'BBB_5_2.0', 'BBP_5_2.0', 'EMA_20', 'STOCHk_14_3_3', 'STOCHd_14_3_3']",0.5612121212121212
Logistic Regression with RFE Feature Selection,60,"['time', 'volume', 'turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'CCI']",0.5157575757575757
