date,time,open,close,high,low,volume,turnover,color,avg_vol_last_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PP,R1,S1,R2,S2,R3,S3,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,RSI
2023-01-02,05:06:00,16625.65,16623.35,16627.2,16614.9,13.89077534,230900.62287454293,red,13.89077534,,,,,,,,,,,,,,,,
2023-01-02,05:24:00,16624.5,16634.824999999997,16644.6,16624.5,45.46209375,756067.75767808,green,29.676434545,,,,16621.81666666667,16628.733333333337,16616.433333333338,16634.11666666667,16609.51666666667,16641.033333333336,16604.13333333334,,,,,,
2023-01-02,05:42:00,16629.6625,16649.175,16658.8,16629.6625,46.21803594,769633.48494164,green,35.19030167666667,,,,16634.641666666666,16644.783333333333,16624.683333333334,16654.741666666665,16614.541666666668,16664.88333333333,16604.583333333336,,,,,,
2023-01-02,06:00:00,16639.418749999997,16652.675000000003,16658.9,16639.418749999997,36.07317827,600785.779737522,green,35.411020825,,,,16645.879166666666,16662.095833333333,16632.958333333332,16675.016666666666,16616.741666666665,16691.233333333334,16603.82083333333,,,,,,
2023-01-02,06:18:00,16646.046875,16649.625,16658.0,16642.5,23.96775943,399151.450793965,red,33.122368546000004,,,,16650.33125,16661.24375,16641.762499999997,16669.812500000004,16630.849999999995,16680.725000000006,16622.281249999993,16619.607715170707,16641.93,16664.252284829294,0.2682655777219769,0.6723613881564126,
2023-01-02,06:36:00,16647.8359375,16640.375,16647.8359375,16636.8,22.43093045,373217.680319071,red,31.340462196666664,,,,16650.041666666668,16657.583333333336,16642.083333333336,16665.541666666668,16634.541666666668,16673.083333333336,16626.583333333336,16632.00572395064,16645.335,16658.66427604936,0.16015629663639078,0.31394338366046903,
2023-01-02,06:54:00,16644.10546875,16641.15,16644.10546875,16638.9,8.849212490000001,147245.44617592098,green,28.12742652428572,,,,16641.670312500002,16646.540625000005,16635.504687500004,16652.706250000003,16630.634375,16657.576562500006,16624.468750000004,16636.755610735047,16646.600000000002,16656.444389264958,0.11827507436900843,0.22319257938114134,
2023-01-02,07:12:00,16642.627734375,16695.425,16763.5,16639.8,475.72295671,7951433.864575216,green,84.0768677975,,,,16641.385156250002,16643.870312500003,16638.664843750004,16646.590625,16636.179687500004,16649.07578125,16633.459375000006,16615.1503439818,16655.85,16696.549656018196,0.48871304698586815,0.9861834702276812,
2023-01-02,07:30:00,16669.0263671875,16734.2,16757.9,16669.0263671875,53.38978817,893689.641647552,red,80.66719228333334,,,,16699.575,16759.350000000002,16635.65,16823.275,16575.875,16883.050000000003,16511.95,16598.02023487594,16672.155000000002,16746.289765124064,0.8893243269878576,0.9184608927820079,
2023-01-02,07:48:00,16701.61318359375,16720.575,16729.6,16701.61318359375,76.96994073,1286655.929934329,red,80.29746712800001,,,,16720.37545572917,16771.724544270837,16682.850911458336,16809.24908854167,16631.501822916667,16860.59817708334,16593.977278645834,16607.858979588724,16686.345,16764.83102041128,0.9407215350189322,0.7180643114571851,
