time,open,close,high,low,volume,turnover,color,avg_vol_last_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PP,R1,S1,R2,S2,R3,S3,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,RSI,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,STOCHk_14_3_3,STOCHd_14_3_3,ATR,ROC,CCI
1672634820,16628.7,16625.775,16630.8,16614.9,23.40515061,389101.247811037,green,23.40515061,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672637280,16627.237500000003,16642.55,16658.8,16627.237500000003,88.31813921,1469931.916822813,green,55.86164491,,,,16623.825,16632.75,16616.850000000002,16639.725,16607.925000000003,16648.649999999998,16600.950000000004,,,,,,,,,,,,,,,,,
1672639740,16634.893750000003,16647.225,16658.9,16634.893750000003,71.61863333,1192503.9741405789,red,61.11397438333333,,,,16642.862500000003,16658.487500000003,16626.925000000007,16674.425,16611.300000000007,16690.05,16595.36250000001,,,,,,,,,,,,,,,,,
1672642200,16641.059375,16695.15,16763.5,16638.9,495.57738161,8282439.217929724,green,169.72982618999998,,,,16647.006250000002,16659.11875,16635.112500000003,16671.0125,16623.000000000004,16683.125,16611.106250000004,,,,,,,,,,,,,,,,,
1672644660,16668.104687500003,16735.475,16757.9,16668.104687500003,151.46102494,2533261.711515984,green,166.07606593999998,,,,16699.183333333334,16759.466666666667,16634.86666666667,16823.783333333333,16574.583333333336,16884.066666666666,16510.26666666667,16588.51511025776,16669.235,16749.954889742243,0.96848943268533,0.9103077953371717,,16669.235,,,16669.234999999997,,,,,,,
1672647120,16701.78984375,16743.9,16766.3,16701.78984375,143.29727443,2399774.892757396,red,162.27960068833332,,,,16720.493229166666,16772.88177083333,16683.08645833333,16810.288541666665,16630.697916666668,16862.67708333333,16593.291145833333,16607.81877117538,16692.859999999997,16777.901228824612,1.018893452944735,0.800089737092504,,16692.859999999997,,,16694.123333333333,,,,,,,
1672649580,16722.844921875003,16729.875,16742.8,16716.1,79.5147924,1330229.264384365,red,150.45605664714284,,,,16737.329947916667,16772.870052083334,16708.359895833335,16801.840104166666,16672.81979166667,16837.380208333332,16643.849739583336,16639.029018346053,16710.325,16781.62098165395,0.8533165172304885,0.6371045011687327,,16710.325,,,16706.040555555555,,,,,,,
1672652040,16726.3599609375,16731.850000000002,16755.0,16708.7,143.22165924,2396192.788842768,green,149.55175697125,,,,16729.591666666664,16743.08333333333,16716.383333333328,16756.291666666664,16702.891666666663,16769.78333333333,16689.683333333327,16693.743776697458,16727.25,16760.756223302542,0.4006184316315223,0.5686439644132201,,16727.25,,,16714.643703703707,,,,,,,
1672654500,16729.10498046875,16731.575,16738.3,16721.6,73.14636833,1223683.663869025,red,141.06226934444442,,,,16731.850000000002,16755.000000000004,16708.700000000004,16778.15,16685.550000000003,16801.300000000003,16662.400000000005,16724.48419903691,16734.535,16744.58580096309,0.1201204689952878,0.3527480540670749,,16734.535,,,16720.287469135805,,,,,,,
1672656960,16730.339990234374,16719.524999999998,16730.339990234374,16710.7,38.10404265,637168.612279235,red,130.766446675,,,,16730.491666666665,16739.38333333333,16722.68333333333,16747.191666666666,16713.791666666664,16756.083333333332,16705.98333333333,16715.857992542144,16731.345,16746.83200745786,0.1851256722978044,0.1183898008647787,,16731.345,16700.29,,16720.0333127572,16700.29,,,,,,
1672659420,16724.932495117188,16723.525,16740.4,16706.0,98.99085701,1655964.089586181,green,127.87775670545452,,,,16720.188330078123,16729.676660156245,16710.036669921872,16739.828320312496,16700.54833984375,16749.316650390618,16690.3966796875,16717.459576971414,16727.27,16737.080423028587,0.1172985553361215,0.3091315741896876,,16727.27,16710.065000000002,,16721.197208504804,16704.514545454545,,,,,0.5879425169653745,
1672661880,16724.228747558594,16728.75,16737.0,16720.5,45.98599481,769353.2323866751,red,121.05344321416663,,,,16723.308333333334,16740.61666666667,16706.216666666667,16757.708333333336,16688.908333333333,16775.01666666667,16671.816666666666,16717.43430803741,16727.045000000002,16736.655691962595,0.1149120118059427,0.5887032903892047,,16727.045000000002,16718.684999999998,,16723.71480566987,16708.920991735537,,,,,0.5179494728872722,
1672664340,16726.489373779295,16705.85,16726.489373779295,16688.2,108.68086331,1815116.919227642,red,120.10170629846152,,,,16728.75,16737.0,16720.5,16745.25,16712.25,16753.5,16704.0,16703.813987826525,16721.845,16739.876012173478,0.2156581665895896,0.0564586212322796,,16721.845,16724.5475,,16717.75987044658,16708.3626296018,,,,,0.3521607955680301,
1672666800,16716.169686889647,16698.725,16716.169686889647,16689.6,99.02914031,1653742.211120989,green,118.5965230135714,,,,16706.846457926433,16725.492915852865,16687.20354207357,16745.135831705727,16668.557084147138,16763.78228963216,16648.914168294275,16692.817328704867,16715.275,16737.732671295136,0.2687083675875483,0.1315290267074955,,16715.275,16724.905,,16711.414913631055,16706.610333310564,,,,,0.0214134044917062,-3.688699672389364
1672669260,16707.447343444823,16694.25,16707.447343444823,16669.6,126.00718922,2103072.812742031,red,119.09056742733333,,,,16701.498228963213,16713.39645792643,16686.82677103678,16728.067915852862,16674.928542073565,16739.966144816077,16660.25708414713,16682.992708544538,16710.22,16737.447291455464,0.325875918515295,0.2067280815257752,56.6014514067454,16710.22,16720.7825,,16705.693275754038,16704.36299998137,,,,39.58596407972642,-0.2463330141510686,-51.02891989164644
1672671720,16700.84867172241,16716.375,16737.1,16693.8,126.09345429,2107504.751854619,green,119.52824785625,,,,16690.43244781494,16711.26489562988,16673.417552185056,16728.279791259763,16652.585104370115,16749.112239074704,16635.57020874023,16683.853388361673,16708.79,16733.72661163833,0.2984849488003384,0.6520856183271676,64.41632799578498,16708.79,16718.03,,16709.253850502693,16706.546999984756,,55.187492336176575,,39.981341754183454,-0.1643882249655185,10.49890055287129
