time,open,close,high,low,volume,turnover,avg_vol_last_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PP,R1,S1,R2,S2,R3,S3,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,RSI,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,STOCHk_14_3_3,STOCHd_14_3_3,ATR,ROC,CCI,color_change
1672675200,-2.0731534979765947,-2.0713484868242076,-2.074513481565317,-2.0686991164494626,-0.4491431682964791,-0.5533385308949235,-0.7288349633810821,6.721139509678324,0.3624874116345991,6.358652098043724,16730.982777345624,16752.19222265438,16713.165554691248,16770.009445308755,16691.956109382492,16791.21889061751,16674.138886728117,16683.82412200822,16716.285,16748.74587799178,0.3883743067527247,0.7212663502761584,61.71458385043541,16716.285,16708.855,16717.8675,16720.95153627932,16716.11789902287,16711.29556961931,76.567760942762,65.12238676786781,25.412651705315728,0.0270534866862555,68.28525356051267,1
1672676400,-2.071646213087535,-2.070592756105602,-2.0751422997034608,-2.06666116928856,-0.6956139424752539,-0.7300436872831952,-0.758743529989089,7.624967963074596,1.0130526920246972,6.611915271049899,16729.15,16737.700000000004,16722.100000000002,16744.750000000004,16713.55,16753.300000000007,16706.5,16703.630903519832,16724.77,16745.90909648017,0.2527878886246988,0.6899324317748338,62.5012226710015,16724.77,16710.390000000003,16718.364999999998,16724.901024186216,16719.15100829144,16713.343610607946,79.55597643097937,74.754667674867,24.06296851949493,0.091820223778161,75.78508245953707,1
1672677600,-2.0705146875684908,-2.0744153475311067,-2.0751772340444696,-2.0726249907296173,-0.4612713876431951,-0.5622021207075825,-0.7703818381505443,7.378680079404148,0.6134118466833991,6.765268232720749,16731.187361003074,16736.01263899693,16727.974722006147,16739.225277993857,16723.14944401229,16744.050555987713,16719.936805015364,16716.04685695699,16727.9,16739.753143043014,0.1417170480814937,0.2479571461206365,56.21005184517941,16727.9,16712.239999999998,16718.07,16723.909016124144,16719.655370420267,16714.16088578814,74.31607744108013,76.8132716049405,24.119865974459582,0.1107557282413418,38.19324644432242,1
1672678800,-2.0718603101277333,-2.0783521773210505,-2.078163064920741,-2.072801831913408,-0.637512843076732,-0.688586640480371,-0.7935443027250991,6.208184671068011,-0.4456668493221905,6.653851520390202,16721.908333333336,16734.316666666673,16709.516666666674,16746.708333333336,16697.108333333337,16759.116666666672,16684.716666666674,16708.4793421923,16726.095,16743.710657807704,0.2106368259620971,0.0637403902884051,50.56501775341668,16726.095,16713.677499999998,16717.138750000002,16719.514344082763,16718.03166670749,16713.83365857022,65.93013468013622,73.26739618406525,23.55442163660297,0.0860966618452536,12.184471919678812,1
1672680000,-2.07450162858622,-2.077684322267399,-2.080696859923732,-2.0727310954398916,-0.6357499087541569,-0.6872924707392243,-0.8153693210010925,5.371948272273585,-1.0255225984932936,6.397470870766878,16715.159340250768,16721.318680501536,16704.56565974923,16731.912361003073,16698.406319498463,16738.07170125384,16687.812638996926,16703.719257296918,16721.745000000003,16739.770742703087,0.215596430911782,0.2470284539665058,51.45567642135147,16721.745000000003,16714.982500000002,16716.5025,16717.217896055176,16717.048636397038,16713.718548230197,57.43897306397346,65.8950617283966,22.466116471789487,0.0781457013127536,8.367402853150532,0
1672681200,-2.075488344633334,-2.077693109833895,-2.0817686436934375,-2.071917625994454,-0.7084910123083568,-0.7394098638519295,-0.8408339520474141,4.653564218831889,-1.395125321547992,6.048689540379881,16713.441666666666,16717.68333333333,16708.38333333333,16722.741666666665,16704.141666666666,16726.98333333333,16699.083333333332,16701.513790657787,16718.135000000002,16734.756209342217,0.1988404728423902,0.3334958700644696,51.44254322496238,16718.135000000002,16717.21,16715.925,16715.67859737012,16716.239793415756,16713.61201982732,53.51430976430988,58.96113916947318,21.05799100565816,0.1334605527453866,9.916176478502043,0
1672682400,-2.07598609664613,-2.078369752454041,-2.0822633148683214,-2.0729079366236824,-0.7870777648426468,-0.7957110579841162,-0.8700380962222005,3.884134385294601,-1.7316441240682243,5.615778509362825,16713.177335062694,16714.854670125387,16710.922664937312,16717.10934025077,16709.24532987462,16718.786675313462,16706.990659749237,16705.318718810726,16713.71,16722.101281189272,0.100411951496984,0.3191575319940687,50.37634198325458,16713.71,16719.239999999998,16715.62,16714.01073158008,16715.22801279471,16713.33230365329,53.49326599326642,54.81551627384992,19.86740918803468,0.1216269856129612,-4.977989559169877,1
1672683600,-2.0765733098238957,-2.0787651929463333,-2.082757986043204,-2.0730494095707153,-0.6329960649203898,-0.6853531648602502,-0.8882290869428191,3.1472975141732604,-1.974784796151652,5.122082310324912,16711.130334198013,16713.560668396025,16708.24466580199,16716.446336792047,16705.81433160398,16718.87667099006,16702.928663207957,16708.833625394207,16711.235,16713.636374605794,0.0287396425912691,0.1491592782041469,49.727675610358766,16711.235,16719.567499999997,16714.721250000002,16712.52382105339,16714.195646832035,16712.972084257737,52.19907407407573,53.06888327721734,18.69495807028256,0.0196034124902257,-16.67240812931811,0
1672684800,-2.077064645928511,-2.0763310370271064,-2.0774130318689803,-2.0729433048604413,-0.513213252604185,-0.5994031208901186,-0.8982771906424729,3.086558683360636,-1.628418901571422,4.714977584932058,16710.149999999998,16711.999999999996,16707.699999999997,16714.449999999997,16705.85,16716.299999999996,16703.399999999998,16707.669642113542,16712.385000000002,16717.100357886462,0.0564295028682018,0.9336892446425794,53.68136415942124,16712.385000000002,16719.239999999998,16713.767499999998,16713.84088070226,16714.610074680757,16713.30569528081,53.82996632996798,53.17410213243671,18.740350091795747,-0.0195876134511667,26.555101903221416,1
1672686000,-2.0760931789617456,-2.073844155708905,-2.0768890167538605,-2.0711355015341613,-0.7092843570359355,-0.7398911026350337,-0.9194920026589549,3.56818428675615,-0.9174346385407262,4.485618925296876,16717.658333333333,16726.716666666667,16707.416666666664,16736.958333333336,16698.35833333333,16746.01666666667,16688.11666666666,16704.430108481967,16714.57,16724.709891518032,0.1213299716119831,0.9428055262736174,57.370112487482565,16714.57,16718.1575,16713.28,16717.077253801508,16716.23551564789,16714.281343349307,57.18102023249218,54.40335354551197,18.51222067365164,-0.0646872082166243,49.523597580390806,0
1672687200,-2.074363946523856,-2.07503926475228,-2.0790200115553485,-2.0703260553403373,-0.7751330237535582,-0.7871245074386705,-0.9435608973150776,3.6336381436995,-0.6815846252779014,4.315222768977401,16722.220458441418,16730.729541558583,16715.040916882834,16737.909083117167,16706.531833765668,16746.418166234333,16699.352292207084,16705.332842236316,16716.079999999998,16726.82715776368,0.1285846653483649,0.6893523892315494,55.09917330062944,16716.079999999998,16717.107500000002,16712.98125,16718.10150253434,16716.947240075548,16714.840263030324,56.48748896285041,55.83282517510353,17.69546444577023,-0.0627590679381853,13.738706593707365,1
1672688400,-2.074096912841352,-2.0727544974634733,-2.074792956293381,-2.0696540588419317,-0.44507263383698176,-0.5504739419591477,-0.9478460416469721,4.162029192371847,-0.1225548612844438,4.284584053656291,16719.81666666667,16723.63333333334,16716.33333333334,16727.11666666667,16712.51666666667,16730.933333333338,16709.03333333334,16707.414224308777,16719.275,16731.135775691226,0.1418814594678807,0.8108987216349067,58.48268862096423,16719.275,16716.4925,16713.441249999996,16720.951001689562,16718.711378243628,16715.96499988458,55.02528549515017,56.23126489683093,17.680945769195056,-0.036754159495132,73.76503032335309,1
