date,time,open,close,high,low,volume,turnover,color,avg_vol_last_100
2023-01-02,04:55:00,16639.95,16638.4,16658.8,16614.9,99.86632992,1661618.3618778,green,99.86632992
2023-01-02,05:54:00,16639.175000000003,16646.975000000002,16658.9,16636.8,88.04360798,1465928.159586755,red,93.95496895
2023-01-02,06:53:00,16643.075000000004,16691.675,16763.5,16638.9,542.44958155,9067413.89731088,green,243.45317315
2023-01-02,07:52:00,16667.375,16732.7,16766.3,16667.375,242.23958671,4054003.694766871,green,243.14977654
2023-01-02,08:51:00,16700.0375,16727.675,16742.8,16700.0375,103.03574831,1723620.522423018,red,215.126970894
2023-01-02,09:50:00,16713.856249999997,16727.524999999998,16755.0,16708.7,189.63899987,3172827.386884434,green,210.8789757233333
2023-01-02,10:49:00,16720.690624999996,16725.725,16734.3,16706.0,82.40362983,1377778.064575473,green,192.5253548814285
2023-01-02,11:48:00,16723.207812499997,16730.95,16740.4,16723.207812499997,93.80877414,1569861.623378949,red,180.18578228875
2023-01-02,12:47:00,16727.078906249997,16708.050000000003,16727.078906249997,16688.2,133.74718338,2233900.9871028853,red,175.02593796555553
2023-01-02,13:46:00,16717.564453125,16692.55,16717.564453125,16669.6,179.46071559,2995866.099668073,green,175.469415728
2023-01-02,14:45:00,16705.0572265625,16722.649999999998,16748.8,16693.8,162.29964188,2712258.801921591,green,174.27216356
2023-01-02,15:44:00,16713.85361328125,16738.0,16748.7,16713.85361328125,152.18341414,2546540.50022309,red,172.43143444166665
2023-01-02,16:43:00,16725.926806640626,16722.95,16734.0,16709.0,96.21788808,1608253.084969668,red,166.56885395230768
2023-01-02,17:42:00,16724.438403320313,16711.625,16724.438403320313,16708.3,42.23966432,705865.180483703,red,157.68819754999998
2023-01-02,18:41:00,16718.031701660155,16716.175000000003,16729.4,16708.6,63.23616213,1057397.721628894,green,151.39139518866665
2023-01-02,19:40:00,16717.10335083008,16722.4,16735.4,16710.1,135.0705945,2258797.439082424,green,150.371345145625
2023-01-02,20:39:00,16719.751675415042,16726.824999999997,16731.6,16719.751675415042,84.26631472,1409587.613083876,green,146.48281394411765
2023-01-02,21:38:00,16723.28833770752,16730.4,16792.0,16693.7,315.06915024,5276277.021787724,red,155.8487215161111
2023-01-02,22:37:00,16726.84416885376,16703.25,16726.84416885376,16687.4,179.86014946,3004717.752536028,red,157.11248088157893
