time,open,close,high,low,volume,turnover,color,avg_vol_last_100
2023-01-02 05:08:00,16629.1,16626.15,16631.5,16614.9,23.62087047,392688.89683013,green,23.62087047
2023-01-02 05:30:00,16643.5,16642.425,16655.4,16627.3,64.41624279999999,1071888.578554119,green,44.018556635
2023-01-02 05:52:00,16657.1,16655.3,16658.9,16648.1,34.09222098,567773.924865049,green,40.70977808333333
2023-01-02 06:14:00,16650.7,16650.7,16658.9,16642.5,43.48250848,724187.695776452,red,41.4029606825
2023-01-02 06:36:00,16640.8,16640.4,16643.2,16636.8,22.62953143,376522.215973467,red,37.648274832
2023-01-02 06:58:00,16681.1,16691.15,16763.5,16638.9,424.32266446,7090750.207762563,green,102.09400643666667
2023-01-02 07:20:00,16736.55,16736.2,16757.9,16713.8,89.25114795,1493511.497140803,green,100.25931236714284
2023-01-02 07:42:00,16727.35,16727.0,16749.3,16704.0,85.94629627,1437172.365445735,red,98.470185355
2023-01-02 08:04:00,16722.25,16729.050000000003,16766.3,16705.4,126.29593559,2114273.196301449,green,101.56193538111113
2023-01-02 08:26:00,16742.15,16742.525,16751.8,16734.0,55.69907483,932610.141571603,green,96.975649326
2023-01-02 08:48:00,16738.5,16735.574999999997,16745.2,16720.1,49.15333748,822477.264862979,red,92.62816643090908
2023-01-02 09:10:00,16727.15,16727.525,16735.7,16720.1,27.36175974,457686.890992895,red,87.18929920666666
2023-01-02 09:32:00,16718.85,16720.975,16731.6,16714.6,41.46392995,693335.671028466,red,83.67196311
2023-01-02 09:54:00,16726.699999999997,16729.274999999998,16755.0,16708.7,109.89814934,1838970.707696788,green,85.54526212642857
2023-01-02 10:16:00,16735.05,16733.149999999998,16738.3,16724.2,44.15110872,738708.747955704,red,82.78565189933333
2023-01-02 10:38:00,16729.75,16728.25,16731.9,16721.6,28.5994952,478342.190544517,red,79.39901710562499
2023-01-02 11:00:00,16723.949999999997,16724.149999999998,16728.4,16720.3,20.43521295,341796.026288247,red,75.93055803764706
2023-01-02 11:22:00,16724.4,16720.875,16728.7,16706.0,50.62132039,846153.544453775,green,74.52448927944444
2023-01-02 11:44:00,16730.4,16731.575,16737.1,16728.4,38.5373851,644906.642290133,green,72.63043116473685
2023-01-02 12:06:00,16733.65,16735.025,16740.4,16732.4,30.96595887,518269.600622667,green,70.54720755
2023-01-02 12:28:00,16729.300000000003,16729.25,16735.0,16723.4,38.20841146,639235.091428781,red,69.00726487904761
